Stromasubtype,Feature,Effect Size,Pvalue,Stroma subtype
,Basophils,1.0001849572567048,0.005908521088524292,IM
,Heme metabolism,1.0000343444691413,0.5710393758981633,IM
,Immune1,460.6532673616835,2.753622898266644e-12,IM
,WNT beta catenin signaling,0.9997305472349641,0.013679733192667682,IM
,Th1 cells,97955037446865.98,6.255262118606548e-10,IM
,Estrogen response early,0.008967883529195107,0.0005668410903275737,IM
,IFNAR2,39458.04799673186,1.8281666256374394e-06,IM
,PIK3CA,2.3832271762639353e-10,2.3162438599589128e-06,IM
,B7-H4,0.042705010321918646,0.0013016873265128425,IM
,VEGFA,1.1476808723739819e-07,2.3313280008941457e-08,IM
,Stroma2,1.8412231313570552e-08,1.6168611833775834e-09,IM
,Trop-2,0.9996368329097569,0.006831666563921106,IM
,CCR4,1.0000031450306013,0.6435133613756331,IM
,detox-iCAF,0.9995012408319933,0.004733554823098052,IM
,CDK12,1.6726508198156048e-05,0.0010401299462162884,IM
,GMP,0.9999972558000221,0.05755873919821758,IM
,TGFβ-myCAF,0.06837847774330183,4.474578084030136e-06,IM
,Fibroblasts,2.389695126726612e-07,2.81638216931336e-06,IM
,CD73,7.893205975835088e-07,0.00039597238633569024,IM
,E2F targets,1.000303942181023,0.0653013606420069,IM
,HDAC1,1.0001332311743527,0.05651763394202998,IM
,Myocytes,0.9999930578375649,0.0062029249890255805,IM
,Endothelial cells,0.9999278725653558,0.005490490650370487,IM
,Th2 cells,109975.17584933907,0.0003401267848184071,IM
,BARD1,4.094778736742163e-08,0.00562677023633888,IM
,TLR2,1.0000325641290568,0.12163194252764718,IM
,GITR,1.0001123625151307,0.00439168191182403,IM
,MLH1,1.64378467279423e-08,0.003496070233797382,IM
,Eosinophils,1.0000012727502625,0.3263765400561758,IM
,CD8+ Tem,9.527533089716331e+26,1.9020000758740147e-06,IM
,PI3K AKT mTOR signaling,1.0001566206886703,0.11597433334282302,IM
,ecm-myCAF,0.02746764675824834,3.72039697831162e-07,IM
,PD1,12039901189672.684,1.1395542827407381e-10,IM
,IL6 JAK STAT3 signaling,35.99664552598731,1.0716779643380684e-07,IM
,Pericytes,0.9999785616679107,0.33430436519977547,IM
,VCpred TN,95.70242072150445,3.526601072205994e-11,IM
,MTOR,1.0000067961925927,0.8170071156569523,IM
,PDGFRB,0.0005269094435133767,2.674887847397874e-08,IM
,NECTIN4,0.9998708479942698,0.1002361119129782,IM
,G2M checkpoint,1.0002119586076101,0.15321349380272176,IM
,KRAS signaling,1.0001355607718447,0.04783454331667741,IM
,Preadipocytes,0.9999966822533848,0.18268864694156273,IM
,Macrophages,11983386790813.232,1.7845104343602366e-09,IM
,POLH,4.920974427878894e-07,0.003321139768149992,IM
,5T4,0.0003476613651761837,7.07857577458374e-05,IM
,AR gene,0.9995782033864515,0.0023652658565986415,IM
,CD4+ memory T-cells,6000136281007.928,0.02764749288635464,IM
,RAD51C,1.0000822770927282,0.0048527565300876905,IM
,Tregs,1.0000066728819732,0.05808524183124258,IM
,MYC targets v2,1.0003361504519608,0.02938261130070819,IM
,NOTCH signaling,0.9997529792663523,0.026001470488025015,IM
,TF,1.000102644711355,0.1399043366401551,IM
,CD8+ Tcm,618805139588887.8,1.2008417505965766e-09,IM
,NKT,0.9999640044622883,0.4249183711766277,IM
,Mast cells,45941044516927.8,0.11877673153831879,IM
,FOXP3,16408.78328559182,4.306688617100002e-06,IM
,PMS1,8.690149717950394e-10,0.0014541024707889977,IM
,Apical junction,0.0005509226755568297,2.0362408263696954e-05,IM
,IL-iCAF,0.9999730864668783,0.9047306045114575,IM
,ATR,2.7284447219467482e-08,2.901179758621274e-05,IM
