Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,Basophils,0.9999268720287608,0.4077861484959223,M
,Heme metabolism,0.009735066692689085,0.006665484239790371,M
,Immune1,0.00444599284915676,0.002445777833552879,M
,WNT beta catenin signaling,1.0002071278148728,0.03981849155821683,M
,Th1 cells,0.9999589174761089,0.2902747660367423,M
,Estrogen response early,0.9999308321790485,0.41681870008988775,M
,IFNAR2,1.0001021203899014,0.1819512314183347,M
,PIK3CA,1.0000307517567824,0.18455839226714954,M
,B7-H4,1.0004404709173964,0.06266649243906339,M
,VEGFA,2.871532826151024,0.03981849155821683,M
,Stroma2,668.2641601450366,0.016209121861691794,M
,Trop-2,0.9994929578890686,0.100236247114517,M
,CCR4,0.9999983241224187,0.8399182717644862,M
,detox-iCAF,1.0001016757045986,0.20927687541221762,M
,CDK12,0.9999768288121189,0.19526373733653057,M
,GMP,0.9999985122550736,0.43290656788588044,M
,TGFβ-myCAF,1.000387693040564,0.014856495591444413,M
,Fibroblasts,14042.022330518952,0.09231377275904934,M
,CD73,0.999941460334992,0.5765268193057327,M
,E2F targets,0.9997743286043657,0.19254565223114328,M
,HDAC1,0.9998890298260391,0.22100113691409817,M
,Myocytes,1.0000075192627225,0.42827374368145643,M
,Endothelial cells,0.9999752734948648,0.04137185092339962,M
,Th2 cells,0.9999304924517463,0.43058654008807384,M
,BARD1,0.06717442873871697,0.028503047774965273,M
,TLR2,0.9998754856933524,0.006054840688196419,M
,GITR,13.944980111381511,0.7815864717764438,M
,MLH1,0.9999450703887802,0.10869158725595764,M
,Eosinophils,0.9999973712327984,0.9274154000110089,M
,CD8+ Tem,0.9999981344810805,0.6891305205314662,M
,PI3K AKT mTOR signaling,0.052884656249579255,0.0005135761007386446,M
,ecm-myCAF,5.891226659381381,0.003510780175672569,M
,PD1,0.9999674025686153,0.00275054055263182,M
,IL6 JAK STAT3 signaling,0.21852752148714855,0.04216758381858425,M
,Pericytes,1.0000178090215162,0.2760634892168071,M
,VCpred TN,0.15260472433048208,0.021380716790376654,M
,MTOR,0.9999008994627238,0.0849022168264016,M
,PDGFRB,1.0001631686952623,0.3835554304831693,M
,NECTIN4,0.9999182331083373,0.6205343425770271,M
,G2M checkpoint,0.9997629917322312,0.12338251250088512,M
,KRAS signaling,1.0000383157553443,0.5765268193057327,M
,Preadipocytes,0.9999806092972761,0.5366568842227546,M
,Macrophages,0.9999747422602435,0.0863447134330326,M
,POLH,1.0000500002939179,0.2902747660367423,M
,5T4,0.9998340612799433,0.3602272192568543,M
,AR gene,0.9994622386190003,0.002896813531831797,M
,CD4+ memory T-cells,0.9999984954357477,0.7423507991640661,M
,RAD51C,1.0000120698707589,0.7907244842075034,M
,Tregs,0.9999971536471058,0.252351913176025,M
