Gene,FC Fat tissue vs TLS,P-value Fat tissue vs TLS,FC in situ vs TLS,P-value in situ vs TLS,FC Lactiferous duct vs TLS,P-value Lactiferous duct vs TLS,FC Necrosis vs TLS,P-value Necrosis vs TLS,FC Tumor vs TLS,P-value Tumor vs TLS,FC Stroma vs TLS,P-value Stroma vs TLS,FC Lymphocyte vs TLS,P-value Lymphocyte vs TLS,FC Vessels vs TLS,P-value Vessels vs TLS
A1BG,1,0.6625193229521236,1,0.7018621474396631,1,0.7492723235324772,1,0.7304420253941694,1,0.47718720027687384,1,0.7210451516814826,1,0.46404743103780083,1,0.7491722098695118
A1BG-AS1,1.0181360657754357,0.018110256108708835,1.0185327980613357,0.08301316231116053,1.0186670400471263,0.04467315762558327,1.0185960216844472,0.020408560631744007,0.9938805219954897,0.3466568020473165,0.9894924617401744,0.28291491976689465,0.97013323355774,0.591301955941506,0.998688813294711,0.4120361968277404
A2M,0.3982298735616163,0.9922681703976478,0.1586614688726903,0.9999954680793822,0.1063969775088389,0.9999999527020482,0.7977318613934505,0.6578566884932802,0.3216924114734815,0.9999877555716226,0.22101597806173512,0.9999999958978274,0.08878286256603658,0.999999999999995,0.02875664320757946,1
A2M-AS1,0.9736638866630118,0.9999991205774882,0.9995097957107182,0.9996349965717057,0.9971582633062763,0.9999935304527445,0.9720007391554257,0.9999995813025321,0.9758435010144115,0.9999999447496668,0.950305276065311,0.999999999999991,0.9909990356063358,0.9999697736742513,0.8901841720333897,0.9999999999920353
A2ML1,0.9529923588562839,0.9999761739112154,0.9948907185145459,0.9998461216903445,0.9997371749140566,0.9922856889636439,0.8449332393792195,0.9999999707636955,0.8534912063998518,0.9999999996990492,0.9422255109646983,0.9999971455317956,1.000004592262416,0.38113746575624813,0.999655020252561,0.9712357663771382
A2MP1,1,0.8306042645548913,1,0.9438555672314303,1,0.9183950938333411,1,0.8637638073388291,1,0.7735676889306077,1,0.6881904150817628,1,0.6926554661778899,1,0.8948303550580554
A4GALT,0.99062223232652,0.2706154653183942,0.9267047161030726,0.9523628965237535,0.9185761549721655,0.9657291348928818,0.9517709824226458,0.6974079348916012,0.9567024042436085,0.6771512349839646,0.8145572438848176,0.9999997682900856,0.8149032794878469,0.9999936894900745,0.6140947117312935,0.999999999999863
AAAS,1.0425284270650699,0.03076707352898368,0.9775571651528973,0.8510380717835906,0.8511317975458603,0.9947929422976457,1.050146409009396,0.07601937460456772,0.8746488495835459,0.9996004234323722,0.9431156643803392,0.8840233076263305,0.8941641829755769,0.9965249474446235,1.0127053208190868,0.4269283947198027
AACS,0.8941502187032843,0.9997944861062477,0.9078572014075433,0.9983265480998876,0.9656258070070288,0.853525146960108,0.9206391110992598,0.9989189894269679,0.8628572779724809,0.9999999983853682,0.9604122815428233,0.9937002544233972,1.0137979173912417,0.044369674215326484,1.049158517956788,0.22613995853519192
AADAT,0.9864281774457196,0.999897648940597,0.9988029700029242,0.9999435621118392,0.9999824622341877,0.9184992655050287,0.993193466789417,0.9999567314772919,0.9627449472684185,0.9999999999587759,0.9783151226271957,0.9999999454928595,1.0000008958386601,0.5785688353990641,0.9998390154822225,0.9993697786840877
