Gene,Function
AL928768.3,Immunoglobulin
ATP2A3,Contraction
BLK,B cell
CCL19,Lymphoid nodule initiation
CCR7,Immune
CD19,B cell
CD22,B cell
CD37,B cell
CD52,Immune
CD79A,B cell
CD79B,B cell
CXCL13,Lymphoid nodule initiation
CXCR5,Lymphoid nodule initiation
FCMR,Immunoglobulin
FCRLA,Immunoglobulin
IKZF3,B cell
IL16,Immune
LINC00926,B cell
LTB,Lymphoid nodule initiation
MS4A1,B cell
NIBAN3,B cell
POU2AF1,Lymphoid nodule initiation
RAC2,Immune
RASGRP2,T cell
RIPOR2,T cell
SELL,Lymphoid nodule structure
TCF7,T cell
TCL1A,Cell survival
TNFRSF13C,B cell
VPREB3,Immunoglobulin
