Genes,Regression.bulk (1),Annotation.bulk (2),Regression.PB (3),Annotation.PB (4)
CD79B,0.745879121,0.737391304,0.791666667,0.689275362
CD79A,0.732600733,0.685217391,0.775641026,0.660869565
TNFRSF13C,0.721611722,0.750724638,0.751831502,0.633043478
BLK,0.764880952,0.649275362,0.869505495,0.679710145
FCRLA,0.755494505,0.728695652,0.829212454,0.666666667
VPREB3,0.713141026,0.74115942,0.838827839,0.666666667
CXCR5,0.786630037,0.743768116,0.754578755,0.653913043
LTB,0.728479853,0.623768116,0.77014652,0.593623188
CD22,0.778388278,0.696231884,0.864468864,0.686956522
TCL1A,0.742216117,0.702028986,0.837912088,0.662028986
CD37,0.706043956,0.699130435,0.796245421,0.642898551
MS4A1,0.76007326,0.692753623,0.899725275,0.691594203
NIBAN3,0.745879121,0.772173913,0.874542125,0.729565217
CD19,0.71771978,0.700289855,0.823260073,0.662608696
FCMR,0.722527473,0.740869565,0.770604396,0.627826087
SELL,0.743589744,0.701449275,0.816391941,0.613333333
IKZF3,0.705128205,0.668405797,0.768315018,0.590724638
RASGRP2,0.722069597,0.704347826,0.744505495,0.691014493
TCF7,0.615384615,0.649275362,0.677197802,0.631884058
CCL19,0.784340659,0.727536232,0.861263736,0.706666667
RIPOR2,0.722985348,0.716521739,0.791208791,0.664347826
CCR7,0.735805861,0.690434783,0.817765568,0.651014493
CD52,0.647893773,0.647536232,0.737637363,0.631884058
LINC00926,0.732142857,0.746086957,0.745421245,0.623768116
IL16,0.699175824,0.674202899,0.748626374,0.623188406
AL928768.3,#N/A,#N/A,0.801282051,0.662028986
POU2AF1,0.692765568,0.659130435,0.721153846,0.622028986
CXCL13,0.656593407,0.671884058,0.727106227,0.644057971
RAC2,0.632783883,0.648115942,0.696428571,0.628985507
ATP2A3,0.706043956,0.631304348,0.71474359,0.593623188
