"","pixel_x","pixel_y"
"2x36",197.957095162316,540.448956294412
"2x52",197.332095162316,780.673956294412
"2x58",197.357095162316,870.636456294412
"2x60",196.832095162316,902.011456294412
"3x55",210.682095162316,825.661456294412
"3x57",210.832095162316,855.611456294412
"3x59",211.119595162316,886.186456294412
"4x34",224.869595162316,510.123956294412
"4x36",224.869595162316,540.311456294412
"4x44",224.944595162316,660.498956294412
"4x46",224.332095162316,690.286456294412
"4x48",224.694595162316,720.311456294412
"4x50",224.282095162316,750.473956294412
"4x56",223.769595162316,840.073956294412
"4x58",224.394595162316,870.398956294412
"4x62",224.044595162316,930.598956294412
"5x27",238.207095162316,404.748956294412
"5x33",238.169595162316,495.023956294412
"5x43",238.094595162316,645.411456294412
"5x49",237.807095162316,735.311456294412
"5x61",238.144595162316,915.686456294412
"6x52",250.994595162316,780.148956294412
"7x25",264.819595162316,374.798956294412
"7x27",264.894595162316,404.811456294412
"7x31",264.757095162316,464.698956294412
"7x33",264.669595162316,494.736456294412
"7x49",264.869595162316,735.173956294412
"7x55",264.169595162316,825.423956294412
"8x20",278.482095162316,300.036456294412
"8x32",278.194595162316,479.748956294412
"8x52",278.319595162316,780.836456294412
"8x60",278.307095162316,901.136456294412
"9x21",291.607095162316,314.986456294412
"9x51",291.619595162316,765.761456294412
"10x30",304.719595162316,449.661456294412
"10x60",305.182095162316,900.398956294412
"10x62",304.907095162316,930.436456294412
"11x23",318.594595162316,343.898956294412
"11x27",318.269595162316,404.248956294412
"11x29",317.857095162316,434.536456294412
"11x31",318.482095162316,464.373956294412
"11x53",318.657095162316,795.073956294412
"11x59",318.569595162316,885.598956294412
"12x22",331.894595162316,328.723956294412
"12x34",331.919595162316,509.148956294412
"12x36",332.157095162316,539.436456294412
"12x48",332.182095162316,719.923956294412
"12x58",332.044595162316,870.286456294412
"12x60",332.294595162316,900.486456294412
"13x25",345.394595162316,374.011456294412
"13x31",345.582095162316,464.061456294412
"13x33",345.469595162316,494.386456294412
"14x24",358.732095162316,359.811456294412
"14x36",359.019595162316,539.886456294412
"15x35",372.544595162316,524.961456294412
"15x37",372.244595162316,554.886456294412
"15x53",372.032095162316,795.586456294412
"15x59",372.494595162316,886.173956294412
"16x24",385.869595162316,359.848956294412
"16x32",385.682095162316,479.523956294412
"16x34",385.744595162316,510.036456294412
"16x36",386.269595162316,540.023956294412
"17x35",399.494595162316,524.573956294412
"17x37",399.357095162316,554.898956294412
"17x51",399.319595162316,765.298956294412
"19x31",426.744595162316,464.423956294412
"20x32",440.444595162316,479.448956294412
"20x48",440.532095162316,719.986456294412
"20x52",440.682095162316,780.223956294412
"20x58",440.357095162316,870.323956294412
"21x29",454.007095162316,434.948956294412
"21x37",453.882095162316,555.086456294412
"21x51",454.019595162316,765.486456294412
"22x32",467.944595162316,478.161456294412
"22x34",467.619595162316,509.161456294412
"22x52",467.569595162316,780.298956294412
"22x54",466.894595162316,810.011456294412
"22x56",467.544595162316,839.498956294412
"23x35",481.157095162316,525.298956294412
"23x43",481.082095162316,645.286456294412
"23x51",481.044595162316,765.298956294412
"23x53",480.819595162316,795.173956294412
"24x44",494.869595162316,660.223956294412
"24x48",494.232095162316,719.386456294412
"24x54",494.432095162316,810.148956294412
"25x35",508.032095162316,524.798956294412
"25x41",508.157095162316,614.548956294412
"25x51",507.819595162316,764.848956294412
"25x59",508.282095162316,884.623956294412
"25x61",507.782095162316,913.936456294412
"26x46",522.132095162316,689.798956294412
"26x50",522.469595162316,750.273956294412
"26x56",521.832095162316,840.398956294412
"26x58",521.882095162316,871.011456294412
"26x60",522.344595162316,900.223956294412
"26x62",522.169595162316,930.248956294412
"27x59",535.782095162316,885.748956294412
"27x61",536.144595162316,915.573956294412
"28x46",548.657095162316,689.898956294412
"28x54",549.269595162316,810.473956294412
"28x62",549.044595162316,930.061456294412
"29x39",562.869595162316,584.661456294412
"29x55",561.969595162316,825.598956294412
"30x50",575.944595162316,750.798956294412
"30x56",575.869595162316,840.886456294412
"30x62",575.269595162316,931.036456294412
"31x49",589.569595162316,735.673956294412
"31x51",589.644595162316,765.636456294412
"31x61",589.757095162316,915.936456294412
"32x32",603.157095162316,479.786456294412
"32x36",603.407095162316,540.423956294412
"32x38",602.819595162316,570.186456294412
"32x52",603.119595162316,780.723956294412
